kanjiID,kanji,authorsNote,onyomiReadingOne,onyomiReadingTwo,onyomiReadingThree,onyomiVocabWordOne,onyomiVocabWordReadingOne,onyomiVocabWordMeaningOne,onyomiSampleSentenceOne,onyomiSampleSentenceMeaningOne,onyomiVocabWordTwo,onyomiVocabWordReadingTwo,onyomiVocabWordMeaningTwo,onyomiSampleSentenceTwo,onyomiSampleSentenceMeaningTwo,onyomiVocabWordThree,onyomiVocabWordReadingThree,onyomiVocabWordMeaningThree,onyomiSampleSentenceThree,onyomiSampleSentenceMeaningThree,onyomiVocabWordFour,onyomiVocabWordReadingFour,onyomiVocabWordMeaningFour,onyomiSampleSentenceFour,onyomiSampleSentenceMeaningFour,onyomiVocabWordFive,onyomiVocabWordReadingFive,onyomiVocabWordMeaningFive,onyomiSampleSentenceFive,onyomiSampleSentenceMeaningFive,onyomiVocabWordSix,onyomiVocabWordReadingSix,onyomiVocabWordMeaningSix,onyomiSampleSentenceSix,onyomiSampleSentenceMeaningSix,onyomiMultipleChoiceReadingOne,onyomiMultipleChoiceReadingTwo,onyomiMultipleChoiceReadingThree,onyomiMultipleChoiceReadingFour,onyomiMultipleChoiceReadingFive,onyomiMultipleChoiceReadingSix,furiganaOnyomiSampleSentenceOne,furiganaOnyomiSampleSentenceTwo,furiganaOnyomiSampleSentenceThree,furiganaOnyomiSampleSentenceFour,furiganaOnyomiSampleSentenceFive,furiganaOnyomiSampleSentenceSix,associatedLevel
352,登,None,とう,と,None,登山,とざん,Mountaineering,彼//かれ//らは週//しゅう//末//まつ//に登//と//山//ざん//を計画//けいかく//しています。,They are planning to go mountaineering this weekend.,登用,とうよう,"Appointment, Recruitment",会社//かいしゃ//は外//がい//部//ぶ//の専門//せんもん//家//か//を登用//とうよう//しました。,The company recruited an external expert.,登場,とうじょう,Appearance,映//えい//画//が//の主人公//しゅじんこう//がついに登場//とうじょう//しました。,The movie's protagonist finally appeared.,登記,とうき,Registration,新//あたら//しい家//いえ//の所有権//しょゆうけん//を登記//とうき//しました。,I registered the ownership of my new house.,登校,とうこう,"Going to school, Attending school",毎//まい//朝//あさ//、彼//かれ//は8時//じ//に登//とう//校//こう//します。,He goes to school at 8 a.m. every morning.,,,,,,"と,とう,ほう,ぼう","とう,ろく,ざん,とい","とう,じょう,と,ほう","とう,はん,どう,ほう","とう,とん,どう,ほう",,,,,,,,18
353,病,None,びょう,None,None,病院,びょういん,Hospital,彼//かれ//は病//びょう//院//いん//に行//い//って診察//しんさつ//を受//う//けました。,He went to the hospital for a check-up.,病気,びょうき,Illness,彼女//かのじょ//は病//びょう//気//き//が治//なお//るのを待//ま//っています。,She is waiting to recover from her illness.,重病,じゅうびょう,"Serious illness, Critically ill",その医者//いしゃ//は重//じゅう//病//びょう//人//にん//から処//しょ//置//ち//を行//おこな//った。,The doctor treated the critically ill patients first.,病人,びょうにん,"Patient, Sick person",病//びょう//人//にん//には十//じゅう//分//ぶん//な休//きゅう//息//そく//が必要//ひつよう//です。,A sick person needs plenty of rest.,,,,,,,,,,,"びょう,しつ,じゅう,やまい","びょう,き,いん,ひょう","びょう,しつ,ぺい,ひょう","びょう,じゅう,ぺい,ひ",,,,,,,,,18
354,速,None,そく,None,None,速度,そくど,Speed,車//くるま//の速//そく//度//ど//が急//きゅう//に遅//おそ//くなりました。,The car's speed suddenly decreased.,速球,そっきゅう,Fastball,彼//かれ//の速球//そっきゅう//は150キロを超//こ//えます。,His fastball exceeds 150 kilometers per hour.,速力,そくりょく,Speed (technical),船//ふね//の速//そく//力//りょく//が測定//そくてい//されました。,The ship's speed was measured.,早速,さっそく,"Immediately, Promptly",早速//さっそく//手//て//続//つづ//きを始//はじ//めます。,I will start the procedure right away.,,,,,,,,,,,"そく,そう,たつ,そ","そく,りょく,ど,そ","そく,そ,そう,ぞく","そく,そ,そう,ぞく",,,,,,,,,18
355,央,None,おう,None,None,中央,ちゅうおう,Center,公園//こうえん//の中//ちゅう//央//おう//に噴水//ふんすい//があります。,There is a fountain in the center of the park.,,,,,,,,,,,,,,,,,,,,,,,,,,"おう,ちゅう,ぶ,ごう",,,,,,,,,,,,18
356,号,None,ごう,None,None,番号,ばんごう,Number,彼//かれ//は電//でん//話//わ//番号//ばんごう//を教//おし//えてくれました。,He gave me his phone number.,信//しん//号,しんごう,Traffic signal,信号//しんごう//が赤//あか//になりました。,The traffic signal turned red.,号外,ごうがい,Extra edition,号外//ごうがい//が新聞配達員//しんぶんはいたついん//によって配//くば//られました。,An extra edition was distributed by the news carrier.,記号,きごう,Symbol,地図//ちず//には記//き//号//ごう//がたくさん使//つか//われています。,The map uses many symbols.,,,,,,,,,,,"ごう,ばん,がい,ほう","ごう,しん,ばん,びょう","ごう,がい,き,ご","ごう,き,しん,こう",,,,,,,,,18
357,待,None,たい,None,None,期待,きたい,Expectation,新//あたら//しいプロジェクトに期//き//待//たい//が高//たか//まっています。,Expectations are rising for the new project.,招//しょう//待,しょうたい,Invitation,彼//かれ//からパーティーの招//しょう//待//たい//を受//う//けました。,I received an invitation to the party from him.,,,,,,,,,,,,,,,,,,,,,"たい,き,ぼう,ばい","たい,あい,き,だい",,,,,,,,,,,18
358,族,None,ぞく,None,None,家族,かぞく,Family,彼//かれ//は家//か//族//ぞく//と一緒//いっしょ//に旅行//りょこう//を計画//けいかく//しています。,He is planning a trip with his family.,民//みん//族,みんぞく,Ethnic group,その地//ち//域//いき//には多//た//様//よう//な民族//みんぞく//が暮//く//らしています。,Various ethnic groups live in that region.,一族,いちぞく,Clan,その一族//いちぞく//は長//なが//い歴//れき//史//し//を持//も//っています。,That clan has a long history.,部族,ぶぞく,Tribe,その部//ぶ//族//ぞく//の伝統//でんとう//はひじょうにユニークです。,The traditions of that tribe are very unique.,,,,,,,,,,,"ぞく,か,ぶ,そく","ぞく,みん,か,たみ","ぞく,いち,ぶ,そく","ぞく,ぶ,みん,そく",,,,,,,,,18
359,銀,None,ぎん,None,None,銀行,ぎんこう,Bank,彼//かれ//は銀行//ぎんこう//でお金//おかね//を引//ひ//き出//だ//しました。,He withdrew money from the bank.,銀色,ぎんいろ,Silver color,彼女//かのじょ//の髪//かみ//は美//うつく//しい銀色//ぎんいろ//に輝//かがや//いていました。,Her hair shone in a beautiful silver color.,水銀,すいぎん,Mercury,水銀//すいぎん//は有害//ゆうがい//な物質//ぶっしつ//です。,Mercury is a harmful substance.,,,,,,,,,,,,,,,,"ぎん,こう,すい,きん","ぎん,いろ,こう,きん","ぎん,か,いろ,ひん","ぎん,すい,か,きん",,,,,,,,,18
360,詩,None,し,None,None,詩人,しじん,Poet,その詩人//しじん//の作品//さくひん//は感動的//かんどうてき//です。,The poet's works are moving.,詩集,ししゅう,Poetry collection,彼//かれ//は詩//し//集//しゅう//を出//しゅっ//版//ぱん//しました。,He published a poetry collection.,詩,し,Poem,彼//かれ//は有名//ゆうめい//な詩//し//を朗読//ろうどく//しました。,He recited a famous poem.,,,,,,,,,,,,,,,,"し,しか,じん,じ","し,じん,しゅう,じ","し,か,しゅう,じん",,,,,,,,,,18
361,根,None,こん,None,None,根本,こんぽん,Foundation,問題//もんだい//の根本//こんぽん//を理//り//解//かい//する必要//ひつよう//があります。,It is necessary to understand the root of the problem.,根底//てい//,こんてい,Foundation,この理//り//論//ろん//の根底//こんてい//には深//ふか//い哲学//てつがく//がある。,The foundation of this theory lies in deep philosophy.,根気,こんき,Perseverance,この仕//し//事//ごと//は根//こん//気//き//が必要//ひつよう//です。,This task requires perseverance.,毛根,もうこん,Hair root,毛根//もうこん//を刺//し//激//げき//するシャンプーを使//つか//っています。,I use a shampoo that stimulates the hair roots.,,,,,,,,,,,"こん,きょ,げんもと,げ","こん,じょう,ぽん,もと","こん,げん,じょう,もと","こん,ぽん,きょ,もと",,,,,,,,,19
362,苦,None,く,None,None,苦労//ろう//,くろう,Hardship,彼//かれ//は人生//じんせい//の苦//く//労//ろう//を乗//の//り越//こ//えました。,He overcame life's hardships.,苦痛//つう//,くつう,Pain,その事故//じこ//は彼//かれ//に苦//く//痛//つう//を与//あた//えました。,The accident caused him pain.,苦情//じょう//,くじょう,Complaint,店//みせ//に対//たい//する苦//く//情//じょう//が多//おお//く寄//よ//せられました。,Many complaints were filed against the store.,,,,,,,,,,,,,,,,"く,つう,ろう,ぐう","く,じょう,つう,ふ","く,ろう,じょう,ぐう","く,のう,ろう,ふう",,,,,,,,,19
363,具,None,ぐ,None,None,道具,どうぐ,Tool,大//だい//工//く//はさまざまな道//どう//具//ぐ//を使//つか//います。,A carpenter uses various tools.,家具,かぐ,Furniture,新//あたら//しい家具//かぐ//を買//か//いに行//い//きました。,I went to buy new furniture.,器具,きぐ,Instrument,この器具//きぐ//はとても便//べん//利//り//です。,This instrument is very useful.,文具,ぶんぐ,Stationery,文//ぶん//具//ぐ//店//てん//で鉛筆//えんぴつ//を買//か//いました。,I bought a pencil at the stationery store.,,,,,,,,,,,"ぐ,どう,き,く","ぐ,き,か,く","ぐ,ぶん,か,く","ぐ,か,き,く",,,,,,,,,19
364,医,None,い,None,None,医者,いしゃ,Doctor,医//い//者//しゃ//に診//み//てもらいました。,I was examined by a doctor.,医学,いがく,Medical science,彼//かれ//は医//い//学//がく//を学//まな//んでいます。,He is studying medical science.,医院,いいん,Clinic,小//ちい//さな医//い//院//いん//で診察//しんさつ//を受//う//けました。,I was examined at a small clinic.,医学生,いがくせい,Medical student,彼//かれ//は医//い//学生//がくせい//として日//にち//夜//や//勉//べん//強//きょう//しています。,He is studying day and night as a medical student.,,,,,,,,,,,"い,がく,りょう,いん","い,しゃ,りょう,ひん","い,りょう,いん,ひ","い,いん,しゃ,ひん",,,,,,,,,19
365,丁,None,ちょう,てい,None,丁度,ちょうど,Just,電//でん//車//しゃ//は丁//ちょう//度//ど//8時//じ//に到着//とうちゃく//しました。,The train arrived just at 8 o'clock.,丁目,ちょうめ,City block,彼//かれ//の家//いえ//は三//さん//丁//ちょう//目//め//にあります。,His house is in the third block.,丁重,ていちょう,"Courteous, Respectful",丁//てい//重//ちょう//なお断//ことわ//りの言//こと//葉//ば//をいただきました。,I received a polite refusal.,,,,,,,,,,,,,,,,"ちょう,じょう,すう,へい","ちょう,ねい,すう,へい","てい,すう,じ,でい",,,,,,,,,,19
366,仕,None,し,None,None,仕事,しごと,Work,毎日//まいにち//仕//し//事//ごと//で忙//いそが//しいです。,I am busy with work every day.,仕方,しかた,"Way, method",それは仕//し//方//かた//がないことです。,It can't be helped.,仕組み,しくみ,Mechanism,この機//き//械//かい//の仕組//しく//みは簡単//かんたん//です。,The mechanism of this machine is simple.,仕入れ,しいれ,Purchasing,商//しょう//品//ひん//の仕入//しい//れを担当//たんとう//しています。,I am in charge of purchasing goods.,,,,,,,,,,,"し,しか,こみ,じん","し,ごと,かた,ひ","し,こみ,ごと,にん","し,かた,こみ,いん",,,,,,,,,19
367,去,None,きょ,こ,None,去年,きょねん,Last year,去年//きょねん//は旅行//りょこう//にたくさん行//い//きました。,I traveled a lot last year.,過//か//去,かこ,Past,過去//かこ//を振//ふ//り返//かえ//らないようにしています。,I try not to dwell on the past.,消去,しょうきょ,Erasure,彼//かれ//はデータを完全//かんぜん//に消//しょう//去//きょ//しました。,He completely erased the data.,,,,,,,,,,,,,,,,"きょ,こ,しょう,さ","こ,ねん,こう,ごう","きょ,き,しょう,ぎょ",,,,,,,,,,19
368,味,None,み,None,None,味方,みかた,Ally,彼//かれ//はいつも私//わたし//の味//み//方//かた//です。,He is always on my side.,美味,びみ,Delicacy,この料//りょう//理//り//は本当//ほんとう//に美味//びみ//です。,This dish is truly a delicacy.,加味,かみ,Take into account,彼//かれ//の意//い//見//けん//を加味//かみ//して計画//けいかく//を修//しゅう//正//せい//しました。,"We revised the plan, taking his opinion into account.",,,,,,,,,,,,,,,,"み,しゅ,び,みん","み,かく,び,みん","み,しゅ,かた,あ",,,,,,,,,,19
369,鉄,None,てつ,None,None,鉄道,てつどう,Railway,鉄道//てつどう//は日本//にほん//の重//じゅう//要//よう//な交通//こうつう//手段//しゅだん//です。,Railways are an important means of transportation in Japan.,鉄分,てつぶん,Iron content,ほうれん草//そう//には鉄分//てつぶん//が多//おお//く含//ふく//まれています。,Spinach is rich in iron content.,鉄,てつ,Iron,この橋//はし//は鉄//てつ//で作//つく//られています。,This bridge is made of iron.,,,,,,,,,,,,,,,,"てつ,ぶん,きん,でつ","てつ,どう,ぶん,て","てつ,きん,どう,でつ",,,,,,,,,,19
370,写,None,しゃ,None,None,写真,しゃしん,Photograph,写真//しゃしん//を撮//と//るのが趣//しゅ//味//み//です。,Taking photos is my hobby.,写生,しゃせい,Sketch,公園//こうえん//で写生//しゃせい//を楽//たの//しんでいます。,I enjoy sketching in the park.,,,,,,,,,,,,,,,,,,,,,"しゃ,せい,ほん,じゃ","しゃ,しん,ほん,うつ",,,,,,,,,,,19
371,返,None,へん,None,None,返答,へんとう,"Reply, Response",彼//かれ//の返答//へんとう//はとても冷//つめ//たかった。,His reply was very cold.,返事,へんじ,Reply/Response,彼//かれ//のメールに返//へん//事//じ//をしました。,I replied to his email.,返品,へんぴん,Return,この商//しょう//品//ひん//は不//ふ//良//りょう//品//ひん//だったので返品//へんぴん//しました。,I returned this product because it was defective.,返金,へんきん,Refund,注//ちゅう//文//もん//がキャンセルされたので、返金//へんきん//を受//う//け取りました。,I received a refund because the order was canceled.,,,,,,,,,,,"へん, しん, べん, ひん","へん, けん, じん, ぺん","へん, べん, ほん, ひん","へん, へい, へ, ほん",,,,,,,,,19
372,油,None,ゆ,None,None,石油,せきゆ,Petroleum,石//せき//油//ゆ//の価//か//格//かく//が上//じょう//昇//しょう//しています。,The price of petroleum is rising.,油田,ゆでん,Oil field,この地//ち//域//いき//には大//おお//きな油//ゆ//田//でん//があります。,There is a large oil field here.,,,,,,,,,,,,,,,,,,,,,"ゆ, あ, しん, とう","ゆ, ゆう, りゅう, ひょう",,,,,,,,,,,19
373,植,None,しょく,None,None,植物,しょくぶつ,Plant,植物園//しょくぶつえん//で珍//めずら//しい植物//しょくぶつ//を見//み//ました。,I saw rare plants in the botanical garden.,植林,しょくりん,Afforestation,森林//しんりん//を守//まも//るために植林//しょくりん//が行//おこな//われます。,Afforestation is done to protect forests.,植民//みん//地,しょくみんち,Colony,彼//かれ//らは植//しょく//民//みん//地//ち//時//じ//代//だい//の歴//れき//史//し//を学//まな//びます。,They learn about the colonial era's history.,,,,,,,,,,,,,,,,"しょく, うえ, じょく, しゅう","しょく, じょう, しょん, りん","しょく, きょ, き, ちょく",,,,,,,,,,19
374,宿,None,しゅく,None,None,宿題,しゅくだい,Homework,宿//しゅく//題//だい//を終//お//わらせるのに時//じ//間//かん//がかかりました。,It took a long time to finish my homework.,宿泊//はく//,しゅくはく,Accommodation,宿泊//しゅくはく//施//し//設//せつ//を予//よ//約//やく//しましたか？,Did you book the accommodation?,宿命,しゅくめい,Destiny,宿命//しゅくめい//に逆//さか//らうことは難//むずか//しいです。,It is difficult to defy destiny.,合宿,がっしゅく,training camp,夏休//なつやす//みに合//がっ//宿//しゅく//が行//おこな//われます。,A training camp is held during summer vacation.,,,,,,,,,,,"しゅく, やど, しょく, ちょく","しゅく, ばく, しゅう, ゆう","しゅく, じゅう, しゅう, たい","しゅく, じゅく, そく, さく",,,,,,,,,19
375,豆,None,とう,None,None,豆乳//にゅう//,とうにゅう,Soy Milk,豆//とう//乳//にゅう//は健康//けんこう//に良//よ//い飲//の//み物//もの//です。,Soy milk is a healthy beverage.,納//なっ//豆,なっとう,Fermented soybeans,朝//あさ//ごはんに納豆//なっとう//とご飯//はん//を食//た//べました。,I had natto and rice for breakfast.,,,,,,,,,,,,,,,,,,,,,"とう, どう, もめ, どん","とう, ふう, ずい, しん",,,,,,,,,,,19
376,倍,None,ばい,None,None,倍,ばい,"Times, Double",借//か//りたお金//かね//は倍//ばい//にして返//かえ//します。,I'll pay back the money I borrowed double.,三倍,さんばい,"Three times, Triple","カラダもってくれよ！三//さん//倍//ばい//界//かい//王//おう//拳//けん//だ！(Goku's line from Dragon Ball, lol)","Hang in there, body! It's time for the Triple Kaio-ken!",,,,,,,,,,,,,,,,,,,,,"ばい, かい, はい, めい","ばい, はい, ひい, べい",,,,,,,,,,,19
377,帳,None,ちょう,None,None,手帳,てちょう,Notebook,新//あたら//しい手//て//帳//ちょう//を買//か//いました。,I bought a new notebook.,通帳,つうちょう,Bankbook,通//つう//帳//ちょう//を銀行//ぎんこう//に持//も//っていきました。,I took my bankbook to the bank.,,,,,,,,,,,,,,,,,,,,,"ちょう, すみ, ちゅう, じょう","ちょう, じょう, ひょう, つう",,,,,,,,,,,19
378,波,None,は,None,None,電波,でんぱ,Radio Wave,電//でん//波//ぱ//の状//じょう//態//たい//が悪//わる//く、電//でん//話//わ//が繋//つな//がりません。,"The radio wave condition is poor, and calls can't connect.",波動,はどう,Wave motion,波//は//動//どう//は物//ぶつ//理//り//学//がく//で重要//じゅうよう//な概念//がいねん//です。,Wave motion is an important concept in physics.,波長,はちょう,Wavelength,彼//かれ//らの波//は//長//ちょう//がよく合//あ//っています。,They get along well.,,,,,,,,,,,,,,,,"は, ばい, ふ, へ","は, や, へい, とう","は, ば, はん, へい",,,,,,,,,,19
379,注,None,ちゅう,None,None,注意,ちゅうい,Caution,交通//こうつう//事//じ//故//こ//に注意//ちゅうい//してください。,Please be cautious of traffic accidents.,注目,ちゅうもく,Attention,彼//かれ//の発言//はつげん//は多//おお//くの注目//ちゅうもく//を集//あつ//めました。,His remark garnered a lot of attention.,注射//しゃ//,ちゅうしゃ,Injection,病//びょう//院//いん//で注//ちゅう//射//しゃ//を受//う//けました。,I got an injection at the hospital.,,,,,,,,,,,,,,,,"ちゅう, さ, しゅう, しん","ちゅう, しょう, しょ, しゅ","ちゅう, しゃ, じゅう, ち",,,,,,,,,,19
380,級,None,きゅう,None,None,初//しょ//級,しょきゅう,Beginner Level,彼女//かのじょ//は初//しょ//級//きゅう//日本//にほん//語//ご//クラスに通//かよ//っています。,She is attending a beginner-level Japanese class.,高級,こうきゅう,High-grade,高//こう//級//きゅう//な時//と//計//けい//を購入//こうにゅう//しました。,I bought a high-grade watch.,中級,ちゅうきゅう,Intermediate level,彼//かれ//は中級//ちゅうきゅう//者//しゃ//向//む//けの問題//もんだい//を解//と//きました。,He solved intermediate-level problems.,,,,,,,,,,,,,,,,"きゅう, しゅう, じゅ, ひゅう","きゅう, しょう, じょう, ぎゅう","きゅう, ぎゅう, ちょう, きゅ",,,,,,,,,,19
381,幸,None,こう,None,None,幸福,こうふく,Happiness,彼//かれ//らは長//なが//い間//あいだ//幸福//こうふく//に暮//く//らしていました。,They lived happily for a long time.,幸運,こううん,Good Luck,幸運//こううん//を祈//いの//ります。,I wish you good luck.,不//ふ//幸,ふこう,Unhappiness,不//ふ//幸//こう//にも事故//じこ//が起//お//こりました。,"Unfortunately, an accident occurred.",,,,,,,,,,,,,,,,"こう, ごう, しあ, さん","こう, さく, わく, ふう","こう, しん, こ, けい",,,,,,,,,,20
382,練,None,れん,None,None,練習//しゅう//,れんしゅう,Practice,彼女//かのじょ//は毎日//まいにち//ピアノを練習//れんしゅう//しています。,She practices the piano every day.,訓//くん//練,くんれん,Training,訓練//くんれん//を受//う//けた犬//いぬ//は非//ひ//常//じょう//に賢//かしこ//いです。,Trained dogs are very intelligent.,,,,,,,,,,,,,,,,,,,,,"れん, ね, けん, てん","れん, く, しゅう, けい",,,,,,,,,,,20
383,悪,None,あく,お,None,悪意,あくい,Malice,彼//かれ//は悪//あく//意//い//なく冗//じょう//談//だん//を言//い//っただけです。,He only made a harmless joke.,悪寒//かん//,おかん,"Chills, Shivering",悪//お//寒//かん//がする場//ば//合//あい//は、早//はや//めに休//やす//んだほうがいいです。,"If you feel chills, you should rest early.",悪化,あっか,Deterioration,病状//びょうじょう//が悪化//あっか//しています。,The condition is worsening.,最悪,さいあく,Worst,それは最悪//さいあく//の結果//けっか//でした。,That was the worst outcome.,,,,,,,,,,,"あく, お, わる, あん","お, おう, ほう, あ","あっ, せい, あ, あう","あく, おん, いく, きょう",,,,,,,,,20
384,等,None,とう,None,None,等級,とうきゅう,"Grade, Rank",ワインの等//とう//級//きゅう//を調//しら//べました。,I checked the wine's rating.,平等,びょうどう,Equality,すべての人//ひと//が平等//びょうどう//に扱//あつか//われるべきです。,Everyone should be treated equally.,高等,こうとう,High level,高等//こうとう//教育//きょういく//を受//う//けることは重//じゅう//要//よう//です。,Receiving higher education is important.,等身大,とうしんだい,Life-sized,等身大//とうしんだい//の像//ぞう//が展//てん//示//じ//されました。,A life-sized statue was displayed.,,,,,,,,,,,"とう, ひら, ほう, ぼう","どう, びょう, きょう, さく","とう, ひょう, しゅう, ぼう","とう, せい, れん, ぼう",,,,,,,,,20
385,曲,None,きょく,None,None,曲線,きょくせん,Curve,この橋//はし//のデザインは美//うつく//しい曲//きょく//線//せん//を描//えが//いています。,The design of this bridge features beautiful curves.,作曲,さっきょく,Composition,彼//かれ//は有名//ゆうめい//な曲//きょく//を作曲//さっきょく//しました。,He composed a famous song.,曲,きょく,"Song, Melody",この曲//きょく//はなんという曲//きょく//ですか？,What’s the name of this song?,名曲,めいきょく,Famous song,この名//めい//曲//きょく//は世界//せかい//中//じゅう//で愛//あい//されています。,This masterpiece is loved worldwide.,,,,,,,,,,,"きょく, ま, さく, けん","きょく, ほく, めい, せん","きょく, き, りょく, しょ","きょく, とう, まく, ふく",,,,,,,,,20
386,庭,None,てい,None,None,庭園,ていえん,"Garden, Park",日本//にほん//庭園//ていえん//は静//しず//かな美//うつく//しさがあります。,Japanese gardens have a quiet beauty.,校庭,こうてい,Schoolyard,子//こ//供//ども//たちは校庭//こうてい//で遊//あそ//んでいます。,Children are playing in the schoolyard.,家庭,かてい,"Household, Family",家//か//庭//てい//の問題//もんだい//を話//はな//し合//あ//いました。,We discussed family matters.,,,,,,,,,,,,,,,,"てい, へい, ちょう, さい","てい, へい, ほう, で","てい, で, でい, けい",,,,,,,,,,20
387,血,None,けつ,None,None,出血,しゅっけつ,Bleeding,怪我//けが//をして出血//しゅっけつ//が止//と//まりません。,The wound is bleeding and won't stop.,,,,,,,,,,,,,,,,,,,,,,,,,,"けつ, ち, かん, しん",,,,,,,,,,,,20
388,温,None,おん,None,None,温度,おんど,Temperature,温//おん//度//ど//が急//きゅう//に下//さ//がりました。,The temperature dropped suddenly.,温泉//せん//,おんせん,Hot Spring,温泉//おんせん//でリラックスしました。,I relaxed in the hot spring.,水温,すいおん,Water temperature,川//かわ//の水温//すいおん//が低//ひく//いため、泳//およ//ぐのは難//むずか//しいです。,The river's water temperature is too low to swim.,気温,きおん,Air temperature,今日//きょう//の気//き//温//おん//は非//ひ//常//じょう//に低//ひく//いです。,Today's air temperature is very low.,,,,,,,,,,,"おん, ほん, けん, かん","おん, せい, いん, とう","おん, だん, れん, けい","おん, ひん, へん, おう",,,,,,,,,20
389,庫,None,こ,None,None,車庫,しゃこ,Garage,車//しゃ//庫//こ//に新//あたら//しい車//くるま//を停//と//めました。,I parked a new car in the garage.,倉//そう//庫,そうこ,Warehouse,倉//そう//庫//こ//に荷//に//物//もつ//を保//ほ//管//ほかん//しました。,The luggage was stored in the warehouse.,,,,,,,,,,,,,,,,,,,,,"こ, くら, しん, さく","こ, く, じょ, こく",,,,,,,,,,,20
390,坂,None,はん,None,None,登坂,とはん,Uphill,登//と//坂//はん//車//しゃ//線//せん//を利//り//用//よう//した。,I used the uphill lane.,,,,,,,,,,,,,,,,,,,,,,,,,,"はん, がん, ほう, いた",,,,,,,,,,,,20
391,息,None,そく,None,None,休息,きゅうそく,Rest,仕//し//事//ごと//の合//あい//間//ま//に少//すこ//し休息//きゅうそく//を取//と//りました。,I took a short rest during work.,利//り//息,りそく,Interest,銀行//ぎんこう//の利//り//息//そく//は低//ひく//いままです。,Bank interest rates remain low.,消息,しょうそく,"News, Whereabouts",彼//かれ//の消//しょう//息//そく//は数年間//すうねんかん//わかっていません。,His whereabouts have been unknown for several years.,生息,せいそく,"Habitat, Existence",この地//ち//域//いき//には珍//めずら//しい鳥//とり//が生息//せいそく//しています。,Rare birds inhabit this area.,,,,,,,,,,,"そく, ぞく, りん, しょく","そく, さい, しゅう, もく","そく, ふく, ふく, じょ","そく, ちく, そう, ふう",,,,,,,,,20
392,館,None,かん,None,None,図書館,としょかん,Library,図書館//としょかん//で新//あたら//しい本//ほん//を借//か//りました。,I borrowed a new book from the library.,映//えい//画//が//館,えいがかん,Movie theater,映//えい//画//が//館//かん//で人//にん//気//き//の映//えい//画//が//を見//み//ました。,I watched a popular movie at the theater.,体育館,たいいくかん,Gymnasium,体育館//たいいくかん//でスポーツイベントが開//ひら//かれました。,A sports event was held at the gymnasium.,,,,,,,,,,,,,,,,"かん, やかた, たい, せい","かん, じょ, がん, しゃ","かん, じつ, とう, がん","かん, きゅう, か, かい",,,,,,,,,20
393,屋,None,おく,None,None,屋上,おくじょう,Rooftop,屋上//おくじょう//で星空//ほしぞら//を観察//かんさつ//しました。,I observed the starry sky from the rooftop.,屋外,おくがい,Outdoors,屋外//おくがい//でのイベントが天候//てんこう//のため中//ちゅう//止//し//になりました。,The outdoor event was canceled due to the weather.,屋内,おくない,Indoors,雨//あめ//が降//ふ//ってきたので、屋内//おくない//に移//い//動//どう//しました。,"Since it started raining, we moved indoors.",,,,,,,,,,,,,,,,"おく, や, たい, じょ","おく, いえ, ちょ, へい","おく, おう, お, ほう",,,,,,,,,,20
394,板,None,はん,ばん,None,黒板,こくばん,Blackboard,黒板//こくばん//に文字//もじ//を書//か//きました。,I wrote words on the blackboard.,鉄板,てっぱん,Iron plate,鉄板//てっぱん//で焼//や//きそばを作//つく//りました。,I made fried noodles on an iron plate.,,,,,,,,,,,,,,,,,,,,,"ばん, はん, はう, たい","ぱん, は, ぱ, はん",,,,,,,,,,,20
395,羊,None,よう,None,None,羊毛,ようもう,Wool,羊毛//ようもう//のセーターは暖//あたた//かいです。,Wool sweaters are warm.,,,,,,,,,,,,,,,,,,,,,,,,,,"よう, ひょう, ほう, ほ",,,,,,,,,,,,20
396,列,None,れつ,None,None,行列,ぎょうれつ,"Line, Queue",レストランの前//まえ//に長//なが//い行列//ぎょうれつ//ができています。,A long line has formed in front of the restaurant.,列車,れっしゃ,Train,列車//れっしゃ//は定刻//ていこく//通//どお//りに到着//とうちゃく//しました。,The train arrived on time.,配列,はいれつ,Arrangement,データの配列//はいれつ//を整//せい//理//り//しました。,I organized the data array.,列島,れっとう,Archipelago,日本//にほん//は列島//れっとう//として知//し//られています。,Japan is known as an archipelago.,,,,,,,,,,,"れつ, れい, りつ, たい","れっ, れ, れい, えつ","れつ, はい, り, りつ","れっ, りつ, けつ, りん",,,,,,,,,20
397,遊,None,ゆう,None,None,遊園地,ゆうえんち,Amusement Park,家//か//族//ぞく//で遊園//ゆうえん//地//ち//に行//い//きました。,I went to the amusement park with my family.,遊具,ゆうぐ,"Playground equipment, Play equipment",公//こう//園//えん//にはたくさんの遊//ゆう//具//ぐ//があります。,There is a lot of playground equipment in the park.,,,,,,,,,,,,,,,,,,,,,"ゆう, ひゅう, ゆ, きょ","ゆう, ゆ, しゅう, こ",,,,,,,,,,,20
398,君,None,くん,None,None,君主,くんしゅ,"Monarch, Ruler",君主制//くんしゅせい//の国//くに//には独特//どくとく//の文//ぶん//化//か//があります。,Monarchies have unique cultures.,君,くん,"Mr, Mister",山//やま//田//だ//君//くん//はどう思//おも//う？(Kun is a casual Japanese honorific for males.),"What do you think, Mr. Yamada?",,,,,,,,,,,,,,,,,,,,,"くん, きみ, けん, ちょ","くん, ぐん, しゅ, くち",,,,,,,,,,,20
