kanjiID,kanji,authorsNote,kunyomiReadingOne,kunyomiReadingTwo,kunyomiReadingThree,kunyomiVocabWordOne,kunyomiVocabWordReadingOne,kunyomiVocabWordMeaningOne,kunyomiSampleSentenceOne,kunyomiSampleSentenceMeaningOne,kunyomiVocabWordTwo,kunyomiVocabWordReadingTwo,kunyomiVocabWordMeaningTwo,kunyomiSampleSentenceTwo,kunyomiSampleSentenceMeaningTwo,kunyomiVocabWordThree,kunyomiVocabWordReadingThree,kunyomiVocabWordMeaningThree,kunyomiSampleSentenceThree,kunyomiSampleSentenceMeaningThree,kunyomiVocabWordFour,kunyomiVocabWordReadingFour,kunyomiVocabWordMeaningFour,kunyomiSampleSentenceFour,kunyomiSampleSentenceMeaningFour,kunyomiVocabWordFive,kunyomiVocabWordReadingFive,kunyomiVocabWordMeaningFive,kunyomiSampleSentenceFive,kunyomiSampleSentenceMeaningFive,kunyomiVocabWordSix,kunyomiVocabWordReadingSix,kunyomiVocabWordMeaningSix,kunyomiSampleSentenceSix,kunyomiSampleSentenceMeaningSix,kunyomiMultipleChoiceReadingOne,kunyomiMultipleChoiceReadingTwo,kunyomiMultipleChoiceReadingThree,kunyomiMultipleChoiceReadingFour,kunyomiMultipleChoiceReadingFive,kunyomiMultipleChoiceReadingSix,furiganaKunyomiSampleSentenceOne,furiganaKunyomiSampleSentenceTwo,furiganaKunyomiSampleSentenceThree,furiganaKunyomiSampleSentenceFour,furiganaKunyomiSampleSentenceFive,furiganaKunyomiSampleSentenceSix,associatedLevel
273,宮,None,みや,None,None,お宮,おみや,Shinto shrine,初詣//はつもうで//で地//じ//元//もと//のお宮//おみや//に参拝//さんぱい//しました。,I visited the local shrine for the first prayer of the New Year.,,,,,,,,,,,,,,,,,,,,,,,,,,"みや,お,みやこ,み",,,,,,,,,,,,14
274,都,None,みやこ,None,None,都,みやこ,"Capital, Metropolis",パリは花//はな//の都//みやこ//と言//い//われています。,Paris is called the City of Flowers.,,,,,,,,,,,,,,,,,,,,,,,,,,"みやこ,みや,み,や",,,,,,,,,,,,14
275,勝,None,か,まさ,None,勝つ,かつ,To Win,私//わたし//たちのチームが決勝//けっしょう//戦//せん//で勝//か//ちました。,Our team won the final match.,勝る,まさる,"To excel, To surpass",彼//かれ//の提案//ていあん//は他//ほか//の案//あん//よりも勝//まさ//っています。,His proposal surpasses the others.,,,,,,,,,,,,,,,,,,,,,"か,しょう,まさ,かち","まさ,しょう,ま,か",,,,,,,,,,,14
276,面,None,おも,おもて,None,面白い,おもしろい,"Interesting, Funny",この映//えい//画//が//はとても面白//おもしろ//いので、ぜひ見//み//てください。,"This movie is very interesting, so you should definitely watch it.",矢面,やおもて,"Confrontation, Frontline, Brunt",彼//かれ//はプロジェクトに失敗//しっぱい//し、矢面//やおもて//に立//た//たされました。,He failed the project and took the brunt of the blame.,,,,,,,,,,,,,,,,,,,,,"おも,おもて,お,なが","おもて,おも,お,おう",,,,,,,,,,,14
277,委,None,ゆだ,None,None,委ねる,ゆだねる,"To Entrust, To leave to",この重要//じゅうよう//な任務//にんむ//は彼//かれ//に委//ゆだ//ねることにしました。,I decided to entrust this important task to him.,,,,,,,,,,,,,,,,,,,,,,,,,,"ゆだ,ねる,ゆ,だ",,,,,,,,,,,,14
278,反,None,そ,None,None,反らす,そらす,"To bend, To arch",彼//かれ//は背//せ//中//なか//を反//そら//してストレッチをしました。,He arched his back to stretch.,,,,,,,,,,,,,,,,,,,,,,,,,,"そ,はん,ばん,そり",,,,,,,,,,,,14
279,世,None,よ,None,None,世の中,よのなか,"The world, Society",世//よ//の中//なか//には、まだ解決//かいけつ//されていない問題//もんだい//がたくさんあります。,There are still many unresolved problems in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,"よ,せ,せい,じょ",,,,,,,,,,,,14
280,区,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
281,県,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
282,進,None,すす,None,None,進む,すすむ,"To advance, progress",彼//かれ//は大学//だいがく//でさらに研//けん//究//きゅう//を進//すす//めています。,He is advancing his research at university.,,,,,,,,,,,,,,,,,,,,,,,,,,"すす, しん, あゆ, はげ",,,,,,,,,,,,15
283,次,None,つぎ,None,None,次,つぎ,Next,次//つぎ//の駅//えき//で降//お//りる予//よ//定//てい//です。,I plan to get off at the next station.,,,,,,,,,,,,,,,,,,,,,,,,,,"つぎ,じ,あと,まえ",,,,,,,,,,,,15
284,院,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
285,係,None,かかり,None,None,係,かかり,"Person in charge, Section",係//かかり//の人//ひと//に質問//しつもん//をしました。,I asked the person in charge a question.,係員,かかりいん,"Clerk, staff",係//かかり//員//いん//がドアを開//あ//けてくれました。,The staff member opened the door.,,,,,,,,,,,,,,,,,,,,,"かかり, けい, かか, か","かかり, かか, かい, けい",,,,,,,,,,,15
286,感,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
287,投,None,な,None,None,投げる,なげる,To throw,彼//かれ//はボールを遠//とお//く//まで投//な//げました。,He threw the ball far.,,,,,,,,,,,,,,,,,,,,,,,,,,"な, とう, あ, さ",,,,,,,,,,,,15
288,界,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
289,打,None,う,None,None,打つ,うつ,"To hit, To strike",彼//かれ//は頭//あたま//を強//つよ//く打//う//ちました。,He hit his head hard.,打ち合わせ,うちあわせ,"Meeting, Arrangement",明日//あす//、打//う//ち合//あ//わせがあります。,There is a meeting tomorrow.,,,,,,,,,,,,,,,,,,,,,"う, い, だ, うち","う, あ, うつ, だ",,,,,,,,,,,15
290,島,None,しま,None,None,島国,しまぐに,Island country,日本//にほん//は島国//しまぐに//です。,Japan is an island country.,島,しま,Island,小//ちい//さな島//しま//でキャンプを楽し//たの//しみました。,We enjoyed camping on the small island.,,,,,,,,,,,,,,,,,,,,,"しま, とう, のしま, あま","しま, とう, どう, くに",,,,,,,,,,,15
291,両,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
292,式,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
293,談,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
294,流,None,なが,None,None,流れる,ながれる,To flow,川//かわ//の水//みず//が静//しず//かに流//なが//れています。,The river water is flowing quietly.,流す,ながす,"To Pour, To let flow",彼//かれ//は涙//なみだ//を流//なが//して喜//よろ//びました。,He shed tears of joy.,,,,,,,,,,,,,,,,,,,,,"なが, りゅう, なぞ, なみ","なが, ながし, なれ, りゅう",,,,,,,,,,,15
295,局,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
296,安,None,やす,None,None,安い,やすい,Cheap,この店//みせ//の商//しょう//品//ひん//はとても安//やす//いです。,The products at this store are very cheap.,安らぐ,やすらぐ,Relax,海//うみ//を見//み//ると気持//きも//ちが安//やす//らぎます。,I feel at peace when I look at the sea.,,,,,,,,,,,,,,,,,,,,,"やす, やつ, あん, や","やす, やつ, あん, や",,,,,,,,,,,15
297,放,None,はな,None,None,放す,はなす,To release,子供//こども//の手//て//を放//はな//さないように気//き//をつけてください。,Be careful not to let go of the child's hand.,放つ,はなつ,"To release, To emit",花//はな//火//び//が夜//よ//空//ぞら//に美//うつく//しい光//ひかり//を放//はな//ちました。,The fireworks emitted beautiful light into the night sky.,,,,,,,,,,,,,,,,,,,,,"はな, ほう, なげる, はは","はな, ほう, なげる, はば",,,,,,,,,,,15
298,重,None,おも,かさ,None,重い,おもい,Heavy,彼//かれ//の荷//に//物//もつ//はとても重//おも//いです。,His luggage is very heavy.,重ねる,かさねる,To pile up,本//ほん//を机//つくえ//の上//うえ//に重ね//かさ//ねました。,I piled books on the desk.,,,,,,,,,,,,,,,,,,,,,"おも, じゅう, よ, お","かさ, たば, じゅう, おも",,,,,,,,,,,15
299,球,None,たま,None,None,球,たま,"Ball, sphere",彼//かれ//は速//はや//い球//たま//を投//な//げるのが得//とく//意//い//だ。,He is good at throwing fast balls.,,,,,,,,,,,,,,,,,,,,,,,,,,"たま, きゅう, まる, ぎゅう",,,,,,,,,,,,15
300,役,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
301,集,None,あつ,つど,None,集まる,あつまる,"Gather, assemble",人々//ひとびと//が公園//こうえん//に集//あつ//まっている。,People are gathering in the park.,,,,,,,,,,,,,,,,,,,,,,,,,,"あつ,あ,しゅう,しゅ",,,,,,,,,,,,16
302,身,None,み,None,None,身分,みぶん,"Social status, Identity",彼//かれ//は地//ち//域//いき//社会//しゃかい//の中//なか//で高//たか//い身//み//分//ぶん//を持//も//っていました。,His social status is quite high in his community.,身近,みぢか,"Familiar, Close",その問題//もんだい//は、日//にち//常//じょう//生活//せいかつ//に関//かか//わるのでとても身//み//近//ぢか//に感//かん//じます。,That issue feels very close to me because it affects my daily life.,中身,なかみ,Contents,箱//はこ//の中//なか//身//み//を確認//かくにん//してください。,Please check the contents of the box.,,,,,,,,,,,,,,,,"み,しん,し,じん","み,じん,みん,しん","み,みん,しん,じん",,,,,,,,,,16
303,由,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
304,使,None,つか,None,None,使う,つかう,Use,時//じ//間//かん//を賢//かしこ//く使//つか//うべきです。,We should use our time wisely.,,,,,,,,,,,,,,,,,,,,,,,,,,"つか,し,つ,しょ",,,,,,,,,,,,16
305,所,None,ところ,None,None,所,ところ,"Place, Spot, Part",彼//かれ//の家//いえ//は静//しず//かな所//ところ//にあります。,His house is in a quiet place.,台所,だいどころ,Kitchen,台//だい//所//どころ//がきれいで整//せい//理//り//されています。,The kitchen is clean and well-organized.,,,,,,,,,,,,,,,,,,,,,"ところ,どこ,ど,しょ","どころ,どこ,ど,と",,,,,,,,,,,16
306,品,None,しな,None,None,品数,しなかず,"Number of items, Variety",この店//みせ//は品数//しなかず//が多//おお//いです。,This store has a large variety of items.,品物,しなもの,"Goods, Products",その店//みせ//では質//しつ//の良//よ//い品物//しなもの//を提//てい//供//きょう//しています。,The store offers high-quality goods.,手品,てじな,Magic trick,簡単//かんたん//な手//て//品//じな//を見//み//せてくれませんか？,Can you show me a simple magic trick?,,,,,,,,,,,,,,,,"しな,し,ひな","しな,しょ,じな,ひん","じな,ひな,しょ,ひ",,,,,,,,,,16
307,死,None,し,None,None,死ぬ,しぬ,To Die,人//ひと//はいつか死//し//ぬ運命//うんめい//にある。,Humans are destined to die someday.,,,,,,,,,,,,,,,,,,,,,,,,,,"し,しん,じ,ひん",,,,,,,,,,,,16
308,消,None,き,け,None,消える,きえる,"To Vanish, To go out",電//でん//気//き//が突然//とつぜん//消//き//えた。,The lights suddenly went out.,消す,けす,"To erase, To turn off",部屋//へや//を出//で//るときは電//でん//気//き//を消//け//してください。,Please turn off the lights when you leave the room.,,,,,,,,,,,,,,,,,,,,,"き,しょう,じょう,け","け,けん,じょう,しょう",,,,,,,,,,,16
309,神,None,かみ,かん,None,神,かみ,God,人々//ひとびと//は豊作//ほうさく//を願//ねが//って神//かみ//に祈//いの//りました。,People prayed to the gods for a good harvest.,神主,かんぬし,Shinto priest,神主//かんぬし//さんが神社//じんじゃ//を歩//ある//いています。,The Shinto priest is walking around the shrine.,,,,,,,,,,,,,,,,,,,,,"かみ,がみ,しん,じょう","かん,がん,しゅ,しん",,,,,,,,,,,16
310,昭,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
311,配,None,くば,None,None,配る,くばる,"To distribute, To hand out",先生//せんせい//がプリントを配//くば//りました。,The teacher handed out the printouts.,配り物,くばりもの,Things to distribute,お祭//まつ//りで配//くば//り物//もの//が配//くば//られました。,Handouts were distributed at the festival.,,,,,,,,,,,,,,,,,,,,,"くば, く, はい, ばい","くば, く, はい, ばい",,,,,,,,,,,16
312,始,None,はじ,None,None,始める,はじめる,"To begin, Transitive",新//あたら//しい生活//せいかつ//を始//はじ//めました。,I started a new life.,始まり,はじまり,Beginning,この物語//ものがたり//の始//はじ//まりはとても印象的//いんしょうてき//です。,The beginning of this story is very impactful.,,,,,,,,,,,,,,,,,,,,,"はじ, は, し, しょ","はじ,し, じ, じゅ",,,,,,,,,,,16
313,育,None,そだ,はぐく,None,育つ,そだつ,To grow,子//こ//供//ども//が元//げん//気//き//に育//そだ//っています。(Intransitive),The child is growing healthily.,育てる,そだてる,To raise,両親//りょうしん//が子供//こども//を大切//たいせつ//に育//そだ//てました。,The parents raised their child with care.,育む,はぐくむ,"To nurture, To foster",その夫婦//ふうふ//はお互//たが//いの理//り//解//かい//を通//つう//じて関係//かんけい//を育//はぐく//んだ。,The couple fostered their relationship through mutual understanding.,,,,,,,,,,,,,,,,"そだ, いく, そた, ぐ","そだ, そた, た, はぐ","はぐく, はく, いく, そだ",,,,,,,,,,16
314,想,None,おも,None,None,想う,おもう,To think,星//ほし//を見//み//るといつもあなたのことを想//おも//う。,I always think of you when I see the stars.,,,,,,,,,,,,,,,,,,,,,,,,,,"おも, お, そ,そう",,,,,,,,,,,,16
315,運,None,はこ,None,None,運ぶ,はこぶ,To carry,荷//に//物//もつ//を部屋//へや//に運//はこ//びました。,I carried the luggage to the room.,,,,,,,,,,,,,,,,,,,,,,,,,,"はこ, うん, はこび, しゅん",,,,,,,,,,,,16
316,終,None,お,None,None,終わる,おわる,To end,映//えい//画//が//が終//お//わりました。(Intransitive),The movie has ended.,,,,,,,,,,,,,,,,,,,,,,,,,,"お, おう, しゅう, しゅ",,,,,,,,,,,,16
317,農,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
318,州,None,す,None,None,三角州,さんかくす,Delta,ナイル川//がわ//は地//ち//中//ちゅう//海//かい//に流//なが//れ込//こ//む前//まえ//に大//おお//きな三角//さんかく//州//す//を形成//けいせい//しています。,The Nile River forms a large delta before flowing into the Mediterranean Sea.,,,,,,,,,,,,,,,,,,,,,,,,,,"す, すう, しゅう, しゅ",,,,,,,,,,,,16
319,助,None,たす,None,None,助ける,たすける,To help,友達//ともだち//を助//たす//けました。,I helped my friend.,助け合い,たすけあい,To help each other,困//こま//った時//とき//は助//たす//け合//あ//いましょう。,Let’s help each other in times of trouble.,,,,,,,,,,,,,,,,,,,,,"たす, じょ, すけ, しょ","たす, じょ, すけ, しょ",,,,,,,,,,,16
320,住,None,す,None,None,住む,すむ,To live,東京//とうきょう//に住//す//んでいます。,I live in Tokyo.,住まい,すまい,Dwelling,新//あたら//しい住//す//まいを探//さが//しています。,I’m looking for a new dwelling.,,,,,,,,,,,,,,,,,,,,,"す, すみ, じゅう, しゅう","す, じゅう, すみ, すみか",,,,,,,,,,,16
321,追,None,お,None,None,追う,おう,To chase,猫//ねこ//がネズミを追//お//っています。,The cat is chasing the mouse.,追い越//こ//す,おいこす,To overtake,車//くるま//を追//お//い越//こ//しました。,I overtook the car.,追い払//はら//う,おいはらう,To drive away,猫//ねこ//を追//お//い払//はら//いました。,I drove the cat away.,,,,,,,,,,,,,,,,"お, おい, おす, おう","お, おう, おい, おお","お, おう, おい, おお",,,,,,,,,,17
322,商,None,あきな,None,None,商い,あきない,"Business, Trade",その通//とお//りは商//あきな//いをする人//ひと//が多//おお//いです。,There are many people doing business on that street.,,,,,,,,,,,,,,,,,,,,,,,,,,"あきな, あき, あ, しょう",,,,,,,,,,,,17
323,葉,None,は,None,None,葉っぱ,はっぱ,Leaf,木//き//の葉//は//っぱが青々//あおあお//と茂//しげ//っています。,The tree’s leaves are lush and green.,,,,,,,,,,,,,,,,,,,,,,,,,,"は, ば, よう, ひ","ば, お, はつ,ぱ","ば, よう, ひ, ふ",,,,,,,,,,17
324,真,None,ま,None,None,真っ赤,まっか,Bright red,夕//ゆう//焼//や//けが真//ま//っ赤//か//に染//そ//まっています。,The sunset is dyed bright red.,真っ白,まっしろ,Pure white,雪//ゆき//が真//ま//っ白//しろ//に積//つ//もっています。,Snow has piled up in pure white.,真ん中,まんなか,Center,部屋//へや//の真//ま//ん中//なか//にテーブルがあります。,There is a table in the center of the room.,真心,まごころ,Sincerity,真//ま//心//ごころ//を込//こ//めて作//つく//りました。,It was made with sincerity.,,,,,,,,,,,"ま, まん, まご, しろ","ま, まう, まつ, まん","ま, まま, まご, しん","ま, まな, まつ, しん",,,,,,,,,17
325,落,None,お,None,None,落ちる,おちる,To fall,りんごが木//き//から落//お//ちました。,An apple fell from the tree.,落とす,おとす,To drop,ペンを落//お//としました。,I dropped my pen.,落ち葉,おちば,Fallen leaves,秋//あき//になると落//お//ち葉//ば//が増//ふ//えます。,Fallen leaves increase in autumn.,落ち着く,おちつく,To calm down,深呼吸//しんこきゅう//して落//お//ち着//つ//きましょう。,Take a deep breath and calm down.,,,,,,,,,,,"お, あ, う, おば","お, あ, う, らく","お, おつ, らく, おい","お, おち, おる, おと",,,,,,,,,17
326,有,None,あ,None,None,有る,ある,"To exist, To have",森//もり//には多//おお//くの木//き//が有//あ//ります。(existence or possession of inanimate things),There are many trees in the forest.,,,,,,,,,,,,,,,,,,,,,,,,,,"あ, あり, ある, あい",,,,,,,,,,,,17
327,負,None,ま,お,None,負ける,まける,To lose,試//し//合//あい//に負//ま//けました。,I lost the game.,負う,おう,"To bear, To take responsibility",彼//かれ//は大//おお//きな責任//せきにん//を負//お//いました。,He took on a huge responsibility.,背//せ//負う,せおう,To carry (on one's back),大//おお//きな荷//に//物//もつ//を背負//せお//っています。,He is carrying a large load.,負け犬,まけいぬ,Loser,彼//かれ//は負//ま//け犬//いぬ//と言//い//われています。,He is called a loser.,,,,,,,,,,,"ま, おう, せ, まい","お, ま, いう, せ","お, あ, まけ, まい","ま, いぬ, けん, まい",,,,,,,,,17
328,守,None,まも,も,None,守る,まもる,To protect,自//し//然//ぜん//を守//まも//ることは大切//たいせつ//です。,It is important to protect nature.,守り神,まもりがみ,Guardian deity,この神社//じんじゃ//には守//まも//り神//がみ//がいます。,This shrine has a guardian deity.,子守り,こもり,Babysitting,今日//きょう//は子守//こも//りをしています。,I am babysitting today.,お守り,おまもり,"Amulet, Charm",お守//まも//りを持//も//っています。,I have a lucky charm.,,,,,,,,,,,"まも, しゅ, じゅ, ま","まも, こも, もう, まい","も, まも, しゅ, じゅ","まも, しゅ, じゅ, ま",,,,,,,,,17
329,美,None,うつく,None,None,美しい,うつくしい,Beautiful,この景//け//色//しき//はとても美//うつく//しいです。,This scenery is very beautiful.,,,,,,,,,,,,,,,,,,,,,,,,,,"うつく, び, う, うつ",,,,,,,,,,,,17
330,急,None,いそ,せ,None,急ぐ,いそぐ,To hurry,急//いそ//いで会場//かいじょう//に向//む//かいました。,I hurried to the venue.,急ぎ足,いそぎあし,Quick steps,急//いそ//ぎ足//あし//で駅//えき//へ向//む//かいました。,I walked quickly to the station.,急かす,せかす,"To urge, To hurry",友達//ともだち//を急//せ//かしました。,I urged my friend to hurry.,,,,,,,,,,,,,,,,"いそ, いぞ, せか, きゅう","いそ, せ, きゅう, いぞ","せ, いそぎ, ぐう, きゅう",,,,,,,,,,17
331,命,None,いのち,None,None,命,いのち,Life,命//いのち//はかけがえのないものです。,Life is irreplaceable.,命がけ,いのちがけ,At the risk of one’s life,彼//かれ//は命//いのち//がけで戦//たたか//いました。,He fought at the risk of his life.,,,,,,,,,,,,,,,,,,,,,"いのち,こころ,めい,にん","いのち, い, にん, こころ",,,,,,,,,,,17
332,送,None,おく,None,None,送る,おくる,To send,手//て//紙//がみ//を送//おく//る準//じゅん//備//び//をしました。,I prepared to send a letter.,送り出す,おくりだす,To send out,彼//かれ//を送//おく//り出//だ//しました。,I sent him off.,見送り,みおくり,Seeing off,駅//えき//まで友人//ゆうじん//を見送//みおく//りました。,I saw my friend off at the station.,,,,,,,,,,,,,,,,"おく, そう, おき, ぱく","おく, そう, み, そう","おく, そう, ぞう, おう",,,,,,,,,,17
333,福,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
334,整,None,ととの,None,None,整う,ととのう,To be ready,試//し//験//けん//の準//じゅん//備//び//が整//ととの//いました。,The preparations for the exam are complete.,,,,,,,,,,,,,,,,,,,,,,,,,,"ととの, そう, ちょう, せい",,,,,,,,,,,,17
335,横,None,よこ,None,None,横,よこ,Side,横//よこ//に車//くるま//が止//と//まっています。,There is a car stopped on the side.,横道,よこみち,Side road,横道//よこみち//にそれてしまいました。,I strayed onto a side road.,横顔,よこがお,"Profile, Side view",彼女//かのじょ//の横顔//よこがお//が美//うつく//しいです。,Her profile is beautiful.,,,,,,,,,,,,,,,,"よこ, みち, おう, ここ","よこ, ほう, ほう, しん","よこ, よご, へい, ほう",,,,,,,,,,17
336,深,None,ふか,None,None,深い,ふかい,Deep,深//ふか//い森//もり//の中//なか//で迷//まよ//いました。,I got lost in a deep forest.,深まる,ふかまる,To deepen,秋//あき//が深//ふか//まってきました。,Autumn is deepening.,深める,ふかめる,To deepen,理//り//解//かい//を深//ふか//めましょう。,Let’s deepen our understanding.,,,,,,,,,,,,,,,,"ふか, ぶ, ふ, しん","ふか, ふう, ふん, ぶ","ふか, ふう, ふん, ぶ",,,,,,,,,,17
337,転,None,ころ,None,None,転がる,ころがる,To roll,石//いし//が転//ころ//がっています。,A stone is rolling.,転ぶ,ころぶ,To fall over,道//みち//で転//ころ//びました。,I fell on the road.,転げ回る,ころげまわる,To roll around,子//こ//供//ども//たちが転//ころ//げ回//まわ//って遊//あそ//んでいます。,The children are rolling around playing.,,,,,,,,,,,,,,,,"ころ, てん, こう, こん","ころ, てん, こう, こん","ころ, てん, こう, こん",,,,,,,,,,17
338,申,None,もう,None,None,申す,もうす,"To say humbly, To state",私//わたし//が申//もう//しました。,I said it (humbly).,申し込//こ//む,もうしこむ,To apply,大学//だいがく//に申//もう//し込//こ//みました。,I applied to the university.,申し出る,もうしでる,To propose,提案//ていあん//を申//もう//し出//で//ました。,I made a proposal.,,,,,,,,,,,,,,,,"もう, もし, ひん, じん","もう, もし, も, もい","もう, もし, も, もい",,,,,,,,,,17
339,様,None,さま,None,None,様,さま,Polite Honorific,田//た//中//なか//様//さま//にお会//あ//いしました。(Highly polite honorific),I met with Mr.Tanaka.,,,,,,,,,,,,,,,,,,,,,,,,,,"さま, ざま, はま, ひん",,,,,,,,,,,,17
340,港,None,みなと,None,None,港,みなと,Port,港//みなと//には船//ふね//が集//あつ//まっています。,Ships are gathering at the port.,港町,みなとまち,Port town,港//みなと//町//まち//は観光//かんこう//地//ち//として有名//ゆうめい//です。,The port town is famous as a tourist spot.,,,,,,,,,,,,,,,,,,,,,"みなと, まち, わん, おか","みなと, まち, み, おか",,,,,,,,,,,17
341,研,None,と,None,None,研ぐ,とぐ,"To sharpen, To polish",包//ほう//丁//ちょう//を研//と//ぎました。,I sharpened the knife.,研ぎ澄//す//ます,とぎすます,"To refine, To hone",感覚//かんかく//を研//と//ぎ澄//す//ませました。,I honed my senses.,,,,,,,,,,,,,,,,,,,,,"と, いし, どう, かた","と, ど, とい, かた",,,,,,,,,,,18
342,階,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
343,路,"Compared to '道' (michi), '路' (michi) refers to something that has been developed or maintained for a specific purpose or use.",みち,じ,None,路,みち,Road,"この路//みち//は昔//むかし//から使//つか//われています。(Compared to '道'- michi, '路'-michi refers to something that has been developed or maintained for a specific purpose or us)",This road has been used since ancient times.,,,,,,,,,,,,,,,,,,,,,,,,,,"みち, うら, ちか, やま",,,,,,,,,,,,18
344,他,None,ほか,None,None,他,ほか,Other,他//ほか//の意見//いけん//も聞//き//いてみます。,I’ll listen to other opinions too.,,,,,,,,,,,,,,,,,,,,,,,,,,"ほか, しょ, くに, ひと",,,,,,,,,,,,18
345,究,None,きわ,None,None,究める,きわめる,To master,学問//がくもん//を究//きわ//めるのは楽//たの//しいです。,It is enjoyable to master academic studies.,,,,,,,,,,,,,,,,,,,,,,,,,,"きわ, きわめ, めい, つくす",,,,,,,,,,,,18
346,橋,None,はし,None,None,橋,はし,Bridge,橋//はし//を渡//わた//って向//む//こう岸//ぎし//へ行//い//きました。,I crossed the bridge to the other side.,大橋,おおはし,Large bridge,大橋//おおはし//が街//まち//をつなぎます。,The large bridge connects the town.,,,,,,,,,,,,,,,,,,,,,"はし, かし, きょ, てっ","はし, かし, きょう, おお",,,,,,,,,,,18
347,岸,None,きし,None,None,岸,きし,Shore,川//かわ//の岸//きし//で休//きゅう//憩//けい//しました。,I rested on the riverbank.,川岸,かわぎし,Riverside,川岸//かわぎし//で釣//つ//りをしました。,I went fishing on the riverside.,,,,,,,,,,,,,,,,,,,,,"きし, べ, かわ, うみ","ぎし, き, べ, うみ",,,,,,,,,,,18
348,客,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
349,起,None,お,None,None,起きる,おきる,To wake up,朝早//あさはや//く起//お//きました。,I woke up early in the morning.,起こす,おこす,To wake (someone) up,子//こ//供//ども//を起//お//こしました。,I woke the child up.,起こる,おこる,To occur,大//おお//きな地//じ//震//しん//が起//お//こりました。,A large earthquake occurred.,起き上がる,おきあがる,To get up,ベッドから起//お//き上//あ//がりました。,I got up from the bed.,,,,,,,,,,,"お, あ, こす, う","お, あ, い, う","お, い, え, あ","お, う, な, や",,,,,,,,,18
350,着,None,つ,き,None,着く,つく,To arrive,駅//えき//に着//つ//きました。,I arrived at the station.,着る,きる,To wear,新//あたら//しい服//ふく//を着//き//ました。,I wore new clothes.,着せる,きせる,To dress (someone),子//こ//供//ども//に服//ふく//を着//き//せました。,I dressed the child.,,,,,,,,,,,,,,,,"つ, ちゃく, は, ぎ","き, つく, ちゃく, はき","き, はき, きい, つく",,,,,,,,,,18
351,乗,None,の,None,None,乗る,のる,To ride,自//じ//転車//てんしゃ//に乗//の//るのが好//す//きです。,I like to ride a bicycle.,乗り越//こ//える,のりこえる,To overcome,困難//こんなん//を乗//の//り越//こ//える力//ちから//が必要//ひつよう//です。,We need the strength to overcome difficulties.,乗り物,のりもの,Vehicle,子//こ//供//ども//たちは乗//の//り物//もの//が大//だい//好//す//きです。,Children love vehicles.,,,,,,,,,,,,,,,,"の,のせ,のり,のう","の,のりこ,のう,こう","の,のせ,る,じょ",,,,,,,,,,18
352,登,None,のぼ,None,None,登る,のぼる,To climb,山//やま//に登//のぼ//るのが趣//しゅ//味//み//です。,My hobby is climbing mountains.,登り坂//ざか//,のぼりざか,Uphill slope,登//のぼ//り坂//ざか//で休//きゅう//憩//けい//しました。,I took a break on the uphill slope.,登り詰//つ//める,のぼりつめる,To rise to the top,彼//かれ//はNo.1に登//のぼ//り詰//つ//めました。,He rose to the top and became No. 1.,,,,,,,,,,,,,,,,"のぼ,のぼう,ざか,のほ","のぼ,みち,つめ,のほ","のぼ,ざか,つめ,の",,,,,,,,,,18
353,病,None,や,やまい,None,病む,やむ,To fall ill,心//こころ//を病//や//む人//ひと//が増//ふ//えています。,The number of people suffering from mental illness is increasing.,病み上がり,やみあがり,Recovery from illness,病//や//み上//あ//がりで無理//むり//をしないでください。,Don’t push yourself after recovering from illness.,病,やまい,Disease,彼//かれ//の病//やまい//は回復//かいふく//に向//む//かっています。,His disease is on the mend.,,,,,,,,,,,,,,,,"やまい,やい,びょ,び","や,やむ,やま,ま","やまい,や,やま,やん",,,,,,,,,,18
